Prefixes,Effects
Imposing,7% Melee Resistance
Incandescent,Adds 24 to 70 Lightning Damage
Incendiary,"+3 to Devastation, +3 to Searing Flames, +3 to Ignite"
Incinerating,Adds 36 to 46 Fire Damage
Indigo,+10% Death Resistance
Intimidating,+11% Melee Resistance
Invigorating,+10% Power Recharge Rate
Ivory,+14% Lightning Resistance
Jagged,+26% Damage (Ranged)
Jolting,Adds 2 to 5 Lightning Damage
Keen,+48% Damage (Ranged)
Knight's,"+2 to Barricade, +2 to Toughness, +2 to Reinforced Armor"
Lavender,+14% Death Resistance
Lucky,+16% Chance to Find Magic Items
Luminous,"+2 to Brilliance, +2 to Amplified Lightning, +2 to Arcing"
Marksman's,"+3 to Biting Arrow, +3 to Far Shot, +3 to Shockwave"
Masterwork,+68 Armor
Midnight,+12% Magic Damage Resistance
Mournful,Adds 10 to 18 Death Damage
Necromancer's,"+3 to Debilitation, +3 to Grim Necromancy, +3 to Vampirism"
Necromantic,Adds 35 to 58 Death Damage
Noble,+3% Melee and Ranged Resistance
Nomad's,"+3 to Critical Shot, +3 to Dodge, +3 to Survival"
Obliterating,+28% Combat Magic Damage
Obscuring,+12% Ranged Resistance
Opulent,+40% Gold Dropped
Overgrown,+22% Nature Magic Damage
Paladin's,"+4 to Barricade, +4 to Toughness, +4 to Reinforced Armor"
Pale,+10% Lightning Resistance
Pearl,+25% Lightning Resistance
Persistent,+65% Armor
Polar,Adds 27 to 45 Ice Damage
Protector's,"+3 to Nurturing Gift, +3 to Enveloping Embrace, +3 to Feral Wrath"
Purple,+18% Death Resistance
Pyromancer's,"+4 to Devastation, +4 to Searing Flames, +4 to Ignite"
Rabid,+18% Nature Magic Damage
Radiating,Adds 6 to 20 Lightning Damage
Rancorous,+48% Damage (Melee)
Ranger's,+2 to Ranged Skills
Ravager's,+1 to Combat Magic Skills
Razor,+56% Damage (Ranged)
Red,+18% Fire Resistance
Regal,+5% Melee and Ranged Resistance
Relentless,+90% Armor
Repellant,+4 Armor
Resolute,+52% Armor
Rime,"+2 to Aquatic Affinity, +2 to Arctic Mastery, +2 to Freezing"
Rousing,+5% Power Recharge Rate
Ruby,+25% Fire Resistance
Rugged,+30 Armor
Ruinous,+12% Combat Magic Damage
Ruthless,+40% Damage (Melee)
Sapphire,+25% Ice Resistance
Savage,+8% Nature Magic Damage
Scarlet,+14% Fire Resistance
Scorching,Adds 2 to 4 Fire Damage
Searing,Adds 10 to 12 Fire Damage
Serendipitous,+35% Chance to Find Magic Items
Serrated,+40% Damage (Ranged)
Sharp,10% Damage (Ranged)
Shining,"+4 to Brilliance, +4 to Amplified Lightning, +4 to Arcing"
Shivering,Adds 5 to 8 Ice Damage
Shocking,Adds 12 to 32 Lightning Damage
Slayer's,"+3 to Critical Strike, +3 to Dual Wield, +3 to Alacrity"
Smoking,Adds 4 to 6 Fire Damage
Sniper's,"+4 to Biting Arrow, +4 to Far Shot, +4 to Shockwave"
Snowy,Adds 5 to 8 Ice Damage
Somber,Adds 4 to 6 Death Damage
Sovereign,+10% Melee and Ranged Resistance
Stable,+6 Armor
Steadfast,+26% Armor
Stinging,+20% Damage (Ranged)
Storming,Adds 24 to 70 Lightning Damage
Stout,+2 Armor
Stygian,Adds 35 to 58 Death Damage
Suffused,Adds 16 to 50 Lightning Damage
Summoner's,"+3 to Summon Fortitude, +3 to Summon Might, +3 to Summon Bond"
Tempest's,"+3 to Quick Draw, +3 to Bleed, +3 to Penetrate"
Templar's,"+3 to Barricade, +3 to Toughness, +3 to Reinforced Armor"
Thundering,Adds 16 to 50 Lightning Damage
Tough,+10 Armor
Tragic,+32% Combat Magic Damage
Twilight,+5% Magic Damage Resistance
Unremitting,+78% Armor
Vagabond's,"+4 to Critical Shot, +4 to Dodge, +4 to Survival"
Vanquisher's,"+2 to Debilitation, +2 to Grim Necromancy, +2 to Vampirism"
Vicious,+32% Damage (Melee)
Vigilant,+40% Armor
Vile,Adds 10 to 18 Death Damage
Violet,+22% Death Resistance
Wanderer's,"+2 to Critical Shot, +2 to Dodge, +2 to Survival"
Warden's,"+4 to Nurturing Gift, +4 to Enveloping Embrace, +4 to Feral Wrath"
Warrior's,+1 to Melee Skills
Watcher's,+1 to Nature Magic Skills
Wealthy,+15% Gold Dropped
White,+18% Lightning Resistance
Wild,+10% Nature Magic Damage
Wicked,+15% Damage (Melee)
Winter,"+3 to Aquatic Affinity, +3 to Arctic Mastery, +3 to Freezing"
Wintery,Adds 19 to 32 Ice Damage
